term,label,lang
никель,MATERIAL,ru
nickel,MATERIAL,en
медь,MATERIAL,ru
copper,MATERIAL,en
кобальт,MATERIAL,ru
cobalt,MATERIAL,en
сульфат никеля,MATERIAL,ru
nickel sulfate,MATERIAL,en
концентрат,MATERIAL,ru
concentrate,MATERIAL,en
электроэкстракция,PROCESS,ru
electrowinning,PROCESS,en
выщелачивание,PROCESS,ru
leaching,PROCESS,en
хлоридное выщелачивание,PROCESS,ru
chloride leaching,PROCESS,en
автоклавное окисление,PROCESS,ru
pressure oxidation,PROCESS,en
экстракция,PROCESS,ru
solvent extraction,PROCESS,en
флотация,PROCESS,ru
flotation,PROCESS,en
плавка,PROCESS,ru
smelting,PROCESS,en
автоклав,EQUIPMENT,ru
autoclave,EQUIPMENT,en
печь взвешенной плавки,EQUIPMENT,ru
flash smelting furnace,EQUIPMENT,en
флотомашина,EQUIPMENT,ru
flotation cell,EQUIPMENT,en
электролизёр,EQUIPMENT,ru
electrolyzer,EQUIPMENT,en
плотность тока,PROPERTY,ru
current density,PROPERTY,en
удельный расход электроэнергии,PROPERTY,ru
specific energy consumption,PROPERTY,en
температура электролита,PROPERTY,ru
electrolyte temperature,PROPERTY,en
